1[[IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaIndividualNumber;Salary="Salary"^^<http://www.w3.org/2001/XMLSchema#string>;Age="Age"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Sex"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaOccupation;WorkClass="WorkClass"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="HoursPerWeek"^^<http://www.w3.org/2001/XMLSchema#string>]
54 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha71;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="19"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
55 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha72;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="31"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
56 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha74;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="23"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
57 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha75;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="79"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
58 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha76;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="27"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
59 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha77;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="40"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
60 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha78;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="67"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
61 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha79;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="18"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
62 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha80;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="31"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
63 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha81;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="18"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
64 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha82;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="52"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
65 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha83;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="46"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
66 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha84;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="59"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
67 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha86;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="53"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
68 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha88;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="33"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
69 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha89;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
70 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha91;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="57"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
71 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha92;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="37"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
72 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha93;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="28"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
73 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha94;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
74 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha96;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="29"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
75 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha99;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="48"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
76 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha100;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="32"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
77 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha103;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="47"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
78 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha104;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="20"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
79 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha105;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="29"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
80 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha107;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="17"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
81 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha108;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
82 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha109;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="31"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
83 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha110;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="42"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
84 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha111;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="24"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
85 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="28"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
86 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha115;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="36"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
87 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha116;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="53"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
88 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha117;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="56"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
89 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha119;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="55"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
90 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha120;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="22"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
91 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha121;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="21"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
92 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha122;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="40"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
93 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha123;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="30"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
94 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha125;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="19"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
95 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha127;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="20"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
96 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha129;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="35"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
97 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha130;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="39"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
98 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha131;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="28"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
99 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha132;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="24"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Female"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]
100 [IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha133;Salary="<=50K"^^<http://www.w3.org/2001/XMLSchema#string>;Age="38"^^<http://www.w3.org/2001/XMLSchema#string>;Gender="Male"^^<http://www.w3.org/2001/XMLSchema#string>;Occupation=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaAdm-clerical;WorkClass="State-gov"^^<http://www.w3.org/2001/XMLSchema#string>;HoursPerWeek="2"^^<http://www.w3.org/2001/XMLSchema#string>]]
