1[[Occupation="Occupation"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaIndividualNumber;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaEducation;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaCapitalGain]
86 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha880;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
87 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha882;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
88 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha893;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
89 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha924;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
90 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha934;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
91 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha947;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
92 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha981;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
93 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha982;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
94 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha988;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
95 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha994;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
96 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1006;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
97 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1029;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
98 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1031;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
99 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1043;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]
100 [Occupation="Adm-clerical"^^<http://www.w3.org/2001/XMLSchema#string>;IndividualNumber=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha1053;Education=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleehaBachelors;CapitalGain=http://www.iiitd.ac.in/humanpopulation/census/garvita/maleeha114]]
